,Name,Age,Civil_Status,Annual_Income,Profession,Blood_Type,Height,Distance_to_Border,Date_Time_Record
21,Konstantin Zaitsev,60,Married,100000,Government surveillance assistance,O,183.76807923655355,1.5756003218194077,1983-05-06 08:00:00.000000
22,Maxim Zaitsev,60,Married,100000,Government surveillance assistance,AB,188.92712820847728,43.52166530040169,1983-05-06 16:00:00.000000
23,Tatiana Egorov,24,Single,100000,Government doctor,AB,184.96009558888892,50.8463703842335,1983-05-24 13:00:00.000000
24,Tatiana Smirnov,60,Single,100000,Government social researcher,O,172.37558137746925,162.53275736472503,1983-05-26 02:00:00.000000
25,Olga Gusev,60,Married,100000,Government surveillance assistance,B,189.33489430503658,1.1463675790562853,1983-05-30 07:00:00.000000
26,Vladimir Smirnov,24,Widowed,100000,Government employee,AB,150.34854107637415,18.693279630328497,1983-06-02 12:00:00.000000
27,Yulia Morozov,60,Divorced,100000,Government social researcher,AB,153.0065757276774,235.88299486475358,1983-06-04 17:00:00.000000
28,Nikolai Pavlov,60,Widowed,100000,Government social researcher,B,158.84211337790484,18.674029550570996,1983-06-09 13:00:00.000000
29,Ekaterina Egorov,60,Divorced,100000,Government social researcher,A,156.28891804137425,19.46552279179254,1983-06-13 20:00:00.000000
30,Artem Sokolov,60,Single,100000,Government employee,B,177.0261536049865,41.09144714940354,1983-06-19 01:00:00.000000
31,Nina Egorov,60,Single,100000,Government social researcher,A,168.704914898445,29.2760410247828,1983-07-01 18:00:00.000000
32,Ksenia Egorov,60,Married,100000,Government social researcher,B,178.9999695552473,26.00676421203164,1983-07-03 20:00:00.000000
33,Ivan Kozlov,42,Married,100000,Government cook,B,178.66845604156924,36.270027896530195,1983-07-12 20:00:00.000000
34,Andrei Mikhailov,60,Married,100000,Government cook,O,174.77394087691076,15.573645234795388,1983-07-18 15:00:00.000000
35,Natalia Antonov,18,Married,100000,Government IT technician,AB,159.2964615746307,2.4579851340006593,1983-07-21 03:00:00.000000
36,Dmitry Kuznetsov,30,Divorced,100000,Government surveillance assistance,A,150.10517332619293,24.398185678200996,1983-07-21 04:00:00.000000
37,Ivan Petrov,60,Divorced,100000,Government surveillance assistance,B,167.65282591753052,25.290364143769626,1983-07-22 22:00:00.000000
38,Pavel Sorokin,60,Single,100000,Government social researcher,AB,185.20597896500672,20.17355440199255,1983-08-04 16:00:00.000000
39,Ivan Lebedev,60,Single,100000,Government surveillance assistance,B,151.25774679701362,17.360647330654878,1983-08-08 16:00:00.000000
40,Igor Stepanov,60,Divorced,100000,Government surveillance assistance,O,162.4479415534441,30.46527746365399,1983-08-09 01:00:00.000000
41,Ekaterina Pavlov,60,Single,100000,Government doctor,B,189.18056661330417,50.067689416092804,1983-08-12 12:00:00.000000
42,Mikhail Popov,60,Divorced,100000,Government cook,B,181.02201669638578,5.084437981239253,1983-08-27 00:00:00.000000
43,Yuri Pavlov,60,Married,100000,Government doctor,B,174.59021018881182,196.92923983372722,1983-08-31 03:00:00.000000
44,Mikhail Gusev,60,Widowed,100000,Government social researcher,AB,167.12107519208675,40.540737307376546,1983-10-02 06:00:00.000000
45,Ksenia Ivanov,18,Single,100000,Government IT technician,AB,161.68475760107964,309.57773539751895,1983-10-05 12:00:00.000000
46,Vladimir Morozov,60,Widowed,100000,Government surveillance assistance,A,155.18254164156227,36.90257255655804,1983-10-16 09:00:00.000000
47,Igor Mikhailov,60,Divorced,100000,Government cook,AB,165.61054770092528,14.846690824226112,1983-10-19 17:00:00.000000
48,Andrei Gusev,54,Married,100000,Government surveillance assistance,AB,188.99821098486797,46.50557139202864,1983-10-22 19:00:00.000000
49,Artem Orlov,60,Married,100000,Government doctor,AB,175.2721769412717,1.0716012181770842,1983-10-23 07:00:00.000000
50,Marina Novikov,60,Single,100000,Government surveillance assistance,B,181.88662728574366,26.660970318733494,1983-11-04 15:00:00.000000
51,Elena Volkov,60,Widowed,100000,Government teacher,A,180.8148675065704,137.26598973630814,1983-11-05 15:00:00.000000
52,Maria Fedorov,60,Married,100000,Government surveillance assistance,AB,177.77083163418126,31.229575384556835,1983-11-11 03:00:00.000000
53,Tatiana Volkov,60,Divorced,100000,Government employee,A,186.13079915513853,17.205371842429866,1983-11-15 06:00:00.000000
54,Anastasia Antonov,60,Single,100000,Government social researcher,A,171.89227033720798,27.897593331754507,1983-11-24 23:00:00.000000
55,Ivan Popov,60,Divorced,100000,Government surveillance assistance,B,158.16725051641663,3.299006929784066,1983-11-30 12:00:00.000000
56,Pavel Petrov,60,Single,100000,Government IT technician,O,157.35548599290232,1.5174788473584035,1983-12-28 02:00:00.000000
57,Yuri Antonov,60,Widowed,100000,Government surveillance assistance,AB,186.22493648667324,14.80978281804882,1984-01-05 20:00:00.000000
58,Marina Antonov,42,Widowed,100000,Government surveillance assistance,O,155.2848241950268,9.716232403931894,1984-01-24 15:00:00.000000
59,Tatiana Volkov,60,Widowed,100000,Government surveillance assistance,AB,181.68263232157943,25.47419933240954,1984-02-09 20:00:00.000000
60,Dmitri Ivanov,54,Divorced,100000,Government teacher,A,188.8278152121555,3.9047634442656687,1984-02-12 11:00:00.000000
61,Sergei Fedorov,60,Widowed,100000,Government social researcher,O,175.28689236390602,11.815380050719666,1984-02-17 16:00:00.000000
62,Igor Ivanov,60,Single,100000,Government social researcher,A,153.2031158856631,202.50069604016636,1984-03-06 11:00:00.000000
63,Dmitri Novikov,60,Married,100000,Government IT technician,B,186.639903601075,17.278227098009346,1984-03-08 15:00:00.000000
64,Tatiana Pavlov,60,Widowed,100000,Government social researcher,A,182.11739810161862,8.730552566091449,1984-03-13 13:00:00.000000
65,Marina Lebedev,60,Divorced,100000,Government surveillance assistance,O,160.6804461945366,46.978163496073535,1984-04-18 08:00:00.000000
66,Maria Pavlov,60,Widowed,100000,Government social researcher,O,157.12297260159298,14.318690872580776,1984-05-05 00:00:00.000000
67,Ivan Antonov,60,Widowed,100000,Government cook,A,189.32870597263135,5.0563813501007155,1984-05-08 11:00:00.000000
68,Dmitri Petrov,60,Single,100000,Government surveillance assistance,B,166.56248303886392,11.9893136986293,1984-05-09 00:00:00.000000
69,Artem Smirnov,42,Married,100000,Government social researcher,A,150.77898942207756,135.60411155876923,1984-05-09 01:00:00.000000
70,Natalia Gusev,48,Single,100000,Government surveillance assistance,AB,163.8873781302119,7.73985434700488,1984-05-14 07:00:00.000000
71,Sergei Popov,60,Single,100000,Government surveillance assistance,AB,152.87751793245056,19.28527621059726,1984-05-15 06:00:00.000000
72,Igor Lebedev,60,Divorced,100000,Government social researcher,A,165.5066449266719,31.783195014523912,1984-05-21 23:00:00.000000
73,Ksenia Timofeev,60,Divorced,100000,Government employee,O,186.67395807145294,9.512866549129976,1984-05-31 13:00:00.000000
74,Ekaterina Morozov,60,Married,100000,Government surveillance assistance,AB,157.39319509685794,53.95481587091989,1984-06-14 23:00:00.000000
75,Natalia Bogdanov,60,Widowed,100000,Government surveillance assistance,A,153.03586093577016,14.475680022636931,1984-06-26 02:00:00.000000
76,Sergei Kozlov,60,Widowed,100000,Government social researcher,AB,159.55600370904696,3.2575753068351467,1984-06-28 03:00:00.000000
77,Sergei Sorokin,60,Widowed,100000,Government doctor,AB,181.65854698994886,2.9933245530421613,1984-06-30 04:00:00.000000
78,Nikolai Zakharov,18,Single,100000,Government employee,B,169.59933529164786,22.93906486540145,1984-08-01 00:00:00.000000
79,Olga Sorokin,36,Married,100000,Government social researcher,B,160.02248881962993,7.904245979954942,1984-08-18 12:00:00.000000
80,Konstantin Ivanov,48,Widowed,100000,Government surveillance assistance,B,189.32328266370126,12.077340435259686,1984-08-19 14:00:00.000000
81,Maria Mikhailov,60,Divorced,100000,Government employee,O,157.94697778928617,10.551849286756314,1984-08-23 10:00:00.000000
82,Sergei Gusev,60,Widowed,100000,Government social researcher,B,150.4780899942891,21.269865589826725,1984-08-25 07:00:00.000000
83,Alexei Ivanov,42,Married,100000,Government social researcher,O,172.46459810260217,17.189510007004532,1984-08-28 20:00:00.000000
84,Igor Pavlov,60,Married,100000,Government doctor,A,152.95336812696354,7.924721296436713,1984-09-03 23:00:00.000000
85,Natalia Pavlov,60,Married,100000,Government history writer,A,169.72875308409803,59.182774501172005,1984-09-07 16:00:00.000000
86,Sergei Kozlov,60,Married,100000,Government employee,AB,162.14793684033683,16.109402361904237,1984-09-13 16:00:00.000000
87,Yulia Romanov,60,Married,100000,Government surveillance assistance,A,181.52393295653116,26.308411122268254,1984-09-16 12:00:00.000000
88,Artem Fedorov,60,Widowed,100000,Government surveillance assistance,O,152.9766728542178,15.57039598807271,1984-09-16 14:00:00.000000
89,Dmitri Popov,60,Divorced,100000,Government cook,A,179.87039784900827,279.7290320659647,1984-09-20 16:00:00.000000
90,Anna Orlov,54,Divorced,100000,Government doctor,O,154.17434280678052,119.0048193483422,1984-09-21 15:00:00.000000
91,Vladimir Morozov,60,Married,100000,Government teacher,AB,158.99584921428024,231.77245340863843,1984-09-29 04:00:00.000000
92,Igor Vorobiev,30,Divorced,100000,Government surveillance assistance,AB,167.50153946986936,4.416204947603001,1984-10-08 15:00:00.000000
93,Mikhail Zaitsev,60,Single,100000,Government social researcher,B,169.97415141069789,417.22512422526324,1984-10-09 00:00:00.000000
94,Mikhail Orlov,60,Widowed,100000,Government surveillance assistance,O,161.57209176398544,23.72140087154758,1984-10-16 04:00:00.000000
95,Alexei Kiselev,60,Divorced,100000,Government surveillance assistance,O,179.53005530649466,41.43678621104833,1984-10-18 22:00:00.000000
96,Andrei Smirnov,30,Divorced,100000,Government employee,B,176.3913813703866,42.68371921024151,1984-10-27 09:00:00.000000
97,Igor Ilyin,60,Divorced,100000,Government social researcher,AB,170.62065094837047,36.02241082957741,1984-10-31 10:00:00.000000
98,Maria Kiselev,60,Married,100000,Government social researcher,A,152.74576029179454,43.35317060292243,1984-11-03 02:00:00.000000
99,Maxim Sokolov,60,Divorced,100000,Government doctor,AB,172.00380528240936,148.9748667373933,1984-11-13 06:00:00.000000
100,Konstantin Ivanov,60,Divorced,100000,Government history writer,B,187.81629600104318,44.47303891685785,1984-11-15 20:00:00.000000
101,Artem Egorov,60,Married,100000,Government surveillance assistance,A,160.6386608990402,57.575376917303956,1984-11-28 23:00:00.000000
102,Igor Egorov,48,Single,100000,Government surveillance assistance,A,183.10034111861498,20.438526093133387,1984-12-05 21:00:00.000000
103,Mikhail Ivanov,60,Single,100000,Government IT technician,A,155.39345570347282,46.994380291472964,1984-12-07 03:00:00.000000
104,Sergei Kiselev,60,Single,100000,Government surveillance assistance,O,185.31858704897462,17.288883601214298,1984-12-12 18:00:00.000000
105,Anna Novikov,60,Married,100000,Government IT technician,O,156.58516771135908,19.54384640309338,1984-12-14 12:00:00.000000
106,Ivan Orlov,60,Widowed,100000,Government social researcher,O,175.68695310359595,13.30528287165515,1984-12-22 05:00:00.000000
107,Sergei Karpov,60,Widowed,100000,Government IT technician,O,182.58836676171325,51.391529002664356,1984-12-22 23:00:00.000000
108,Svetlana Zaitsev,60,Divorced,100000,Government surveillance assistance,A,169.80421398439904,9.449903849232566,1984-12-27 18:00:00.000000
109,Marina Fedorov,60,Divorced,100000,Government surveillance assistance,AB,167.53059144058437,9.940281664722855,1985-01-05 01:00:00.000000
110,Alexei Ilyin,60,Married,100000,Government social researcher,AB,186.5688665355808,61.1051438244482,1985-01-15 20:00:00.000000
111,Yuri Karpov,60,Divorced,100000,Government surveillance assistance,A,179.43130879070372,13.184161486785573,1985-01-20 10:00:00.000000
112,Pavel Antonov,60,Married,100000,Government doctor,A,157.30827432527752,9.19916098688082,1985-01-23 03:00:00.000000
113,Ivan Petrov,60,Widowed,100000,Government cook,A,180.32505708058977,237.24422101082925,1985-01-31 10:00:00.000000
114,Dmitri Petrov,60,Divorced,100000,Government social researcher,A,159.55585559939718,10.76458821487158,1985-02-04 10:00:00.000000
115,Tatiana Romanov,60,Divorced,100000,Government surveillance assistance,O,181.08566148718734,2.90435780210587,1985-02-13 22:00:00.000000
116,Yulia Zakharov,60,Divorced,100000,Government social researcher,B,151.53828293818356,58.403812965856346,1985-02-21 15:00:00.000000
117,Igor Bogdanov,60,Widowed,100000,Government teacher,B,184.4732795382672,2.598144794154717,1985-02-21 23:00:00.000000
118,Ksenia Antonov,60,Divorced,100000,Government surveillance assistance,O,166.94075180490222,6.76611596694737,1985-02-22 15:00:00.000000
119,Olga Bogdanov,60,Single,60858,Government surveillance assistance,B,160.92923198711014,50.60223009304756,1985-02-22 21:00:00.000000
120,Alexei Egorov,60,Widowed,100000,Government employee,AB,165.53619498803468,34.25996487484749,1985-02-23 23:00:00.000000
121,Alexei Popov,60,Widowed,100000,Government doctor,O,163.97785885802682,34.97927193807348,1985-02-28 11:00:00.000000
122,Polina Mikhailov,60,Married,100000,Government surveillance assistance,AB,182.30506395792972,46.73206619565275,1985-03-10 19:00:00.000000
123,Anastasia Popov,60,Divorced,100000,Government surveillance assistance,AB,162.13659849352354,14.469992415492586,1985-03-11 14:00:00.000000
124,Marina Vasiliev,60,Divorced,100000,Government social researcher,AB,161.32885606518514,381.35383374320634,1985-04-02 06:00:00.000000
125,Sergei Petrov,60,Divorced,100000,Government social researcher,B,179.88301197070302,92.67826021761219,1985-04-03 17:00:00.000000
126,Vladimir Egorov,18,Single,100000,Government surveillance assistance,AB,189.78332832880957,17.681673791448773,1985-04-10 20:00:00.000000
127,Svetlana Karpov,60,Divorced,100000,Government cook,B,189.94901928806752,19.658398512756786,1985-04-11 00:00:00.000000
128,Svetlana Gusev,60,Widowed,100000,Government teacher,AB,168.44647655795282,30.89869975103459,1985-04-12 05:00:00.000000
129,Artem Kiselev,60,Single,100000,Government surveillance assistance,O,184.18239949648643,11.328143645122648,1985-04-12 07:00:00.000000
130,Alexei Kozlov,60,Divorced,100000,Government doctor,B,173.14833540191864,18.96264848341148,1985-04-14 05:00:00.000000
131,Svetlana Antonov,60,Married,100000,Government social researcher,B,169.13353548866272,3.305999313884419,1985-04-18 12:00:00.000000
132,Marina Kozlov,60,Married,100000,Government social researcher,A,153.66095947934798,52.10137473193858,1985-04-26 08:00:00.000000
133,Elena Novikov,60,Married,100000,Government surveillance assistance,A,178.6620816775149,19.62177913300832,1985-05-18 01:00:00.000000
134,Igor Antonov,60,Divorced,100000,Government social researcher,B,165.65349241361554,6.936600268891123,1985-05-19 16:00:00.000000
135,Polina Gusev,60,Divorced,100000,Government doctor,O,166.7023289664345,13.49120250800339,1985-06-12 14:00:00.000000
136,Ivan Morozov,30,Married,100000,Government surveillance assistance,O,164.0047257155669,37.84179538456165,1985-06-17 17:00:00.000000
137,Ksenia Bogdanov,30,Widowed,100000,Government social researcher,O,162.5663089274163,405.78578062528396,1985-06-28 23:00:00.000000
138,Dmitri Fedorov,60,Single,100000,Government surveillance assistance,O,189.84968402832664,10.139682381449072,1985-07-14 05:00:00.000000
139,Nina Petrov,30,Married,100000,Government surveillance assistance,A,152.7986098236147,161.69696710259572,1985-07-31 21:00:00.000000
140,Dmitri Zaitsev,60,Divorced,100000,Government employee,A,183.05970278787993,16.986042515906718,1985-08-01 16:00:00.000000
141,Igor Stepanov,60,Single,100000,Government surveillance assistance,A,186.91111455749945,12.852718885053068,1985-08-02 19:00:00.000000
142,Natalia Timofeev,60,Widowed,100000,Government history writer,AB,157.06648995511276,19.00655988292523,1985-08-08 09:00:00.000000
143,Igor Petrov,60,Single,100000,Government teacher,O,150.32522718082322,19.9148631801453,1985-08-15 15:00:00.000000
144,Maxim Timofeev,60,Married,100000,Government social researcher,AB,155.6026996049279,4.267584911269798,1985-08-18 18:00:00.000000
145,Polina Zaitsev,60,Divorced,27843,Government social researcher,AB,157.88077128011767,45.923362059510104,1985-08-23 22:00:00.000000
146,Ivan Ivanov,60,Single,100000,Government surveillance assistance,AB,183.251670207452,10.567883764195596,1985-08-30 16:00:00.000000
147,Alexei Volkov,60,Married,100000,Government surveillance assistance,A,176.03365839329865,56.13877459554118,1985-09-04 10:00:00.000000
148,Anna Pavlov,60,Married,100000,Government doctor,B,166.5398107315537,14.364989667093587,1985-09-07 04:00:00.000000
149,Polina Timofeev,60,Married,100000,Government surveillance assistance,A,158.5320485220956,30.514798110580603,1985-09-19 08:00:00.000000
150,Olga Petrov,60,Widowed,89316,Government IT technician,A,168.35108622645632,27.944532690546875,1985-09-26 00:00:00.000000
151,Artem Gusev,60,Married,100000,Government surveillance assistance,B,176.80327878757396,10.970858128587226,1985-09-30 00:00:00.000000
152,Mikhail Orlov,60,Married,100000,Government surveillance assistance,O,189.21595950081073,53.31501684041974,1985-09-30 07:00:00.000000
153,Olga Ivanov,60,Single,100000,Government cook,A,189.6593113535914,15.065333860584536,1985-10-01 12:00:00.000000
154,Pavel Petrov,60,Widowed,100000,Government surveillance assistance,A,187.07437557576748,59.30101359195598,1985-10-03 07:00:00.000000
155,Vladimir Smirnov,60,Divorced,100000,Government employee,AB,170.68273455668879,34.70612708007938,1985-10-04 16:00:00.000000
156,Konstantin Novikov,60,Divorced,100000,Government surveillance assistance,B,172.82928278018113,41.673874090404745,1985-10-29 20:00:00.000000
157,Anna Zakharov,60,Widowed,100000,Government surveillance assistance,O,189.0278272424218,8.858707748935498,1985-11-06 15:00:00.000000
158,Ivan Mikhailov,30,Widowed,100000,Government surveillance assistance,O,180.967760820999,2.811139428563856,1985-11-07 05:00:00.000000
159,Alexei Morozov,60,Divorced,100000,Government social researcher,AB,177.54201003030667,3.0972269309228326,1985-11-10 17:00:00.000000
160,Olga Kiselev,60,Single,100000,Government social researcher,O,155.07605430185285,38.439002441676,1985-11-14 22:00:00.000000
161,Andrei Orlov,60,Widowed,100000,Government surveillance assistance,A,185.28849241697577,309.95457780337404,1985-11-19 04:00:00.000000
162,Pavel Kiselev,60,Single,100000,Government surveillance assistance,A,189.28819200840462,3.2504560626763217,1985-11-21 06:00:00.000000
163,Maria Bogdanov,60,Widowed,100000,Government social researcher,A,177.98481313850235,22.634598999074672,1985-12-01 07:00:00.000000
164,Svetlana Ivanov,60,Divorced,100000,Government surveillance assistance,B,178.5659981350875,16.802089329522182,1985-12-10 22:00:00.000000
165,Yuri Zaitsev,60,Single,100000,Government surveillance assistance,B,163.66417066804803,22.48172061391244,1985-12-19 15:00:00.000000
166,Dmitry Bogdanov,60,Single,100000,Government surveillance assistance,B,170.56882675774253,30.85793427707442,1985-12-20 15:00:00.000000
167,Dmitri Karpov,60,Single,100000,Government IT technician,O,185.16994764684068,14.23930989520297,1985-12-26 17:00:00.000000
168,Svetlana Pavlov,60,Married,100000,Government surveillance assistance,A,155.6655785668496,2.9917143702146474,1986-01-08 17:00:00.000000
169,Nikolai Ilyin,60,Divorced,100000,Government cook,O,188.64759810010403,13.566385558270108,1986-01-28 00:00:00.000000
170,Natalia Volkov,60,Married,67523,Government employee,AB,151.3807100188839,13.97577372883482,1986-02-01 04:00:00.000000
171,Andrei Morozov,60,Widowed,100000,Government surveillance assistance,O,158.08268561639895,11.32878443492978,1986-02-03 04:00:00.000000
172,Ivan Fedorov,60,Single,100000,Government cook,O,159.3706970738768,20.840017943108844,1986-02-23 17:00:00.000000
173,Yulia Morozov,60,Single,100000,Government IT technician,O,160.15356888503797,51.25007460636335,1986-03-19 06:00:00.000000
174,Maria Pavlov,60,Divorced,100000,Government IT technician,A,166.76700368414424,24.257961392950893,1986-03-19 12:00:00.000000
175,Olga Zakharov,60,Married,100000,Government surveillance assistance,A,186.4125191288258,12.162350316449247,1986-03-20 06:00:00.000000
176,Tatiana Pavlov,60,Widowed,100000,Government social researcher,B,171.2532143811817,15.62570953496882,1986-03-29 09:00:00.000000
177,Polina Sorokin,60,Married,100000,Government surveillance assistance,AB,168.88011626301568,421.13642780461294,1986-03-29 13:00:00.000000
178,Pavel Zaitsev,30,Widowed,100000,Government social researcher,AB,157.9266858347436,20.61780297329621,1986-04-13 11:00:00.000000
179,Ekaterina Timofeev,60,Widowed,100000,Government social researcher,O,172.70663544709342,17.18053344234826,1986-05-02 05:00:00.000000
180,Dmitri Petrov,60,Divorced,100000,Government surveillance assistance,AB,153.9519814822763,52.22642841551917,1986-05-11 23:00:00.000000
181,Ivan Mikhailov,60,Single,100000,Government surveillance assistance,O,156.60734406146548,34.181999812346945,1986-05-19 08:00:00.000000
182,Konstantin Antonov,60,Divorced,100000,Government surveillance assistance,B,185.93137328347598,40.1635312704897,1986-05-21 16:00:00.000000
183,Maria Sorokin,60,Married,100000,Government IT technician,O,187.96192930394665,31.192373656883746,1986-05-27 17:00:00.000000
184,Pavel Orlov,60,Single,100000,Government IT technician,A,173.43950762525856,52.220046402710786,1986-06-07 19:00:00.000000
185,Ksenia Petrov,60,Single,74715,Government surveillance assistance,AB,167.63081865595657,26.348928627834148,1986-06-23 03:00:00.000000
186,Anastasia Egorov,60,Married,100000,Government teacher,O,183.60415341043316,339.99507407379275,1986-06-24 22:00:00.000000
187,Ekaterina Popov,60,Widowed,100000,Government surveillance assistance,AB,161.1161396494312,45.48497800956095,1986-07-02 10:00:00.000000
188,Nina Kuznetsov,30,Single,100000,Government surveillance assistance,AB,167.2532374811379,17.165720612743105,1986-07-10 12:00:00.000000
189,Sergei Ivanov,60,Single,100000,Government social researcher,B,169.4336762419051,18.917586801806735,1986-07-27 11:00:00.000000
190,Vladimir Morozov,60,Single,100000,Government surveillance assistance,B,151.20137116917587,212.358135135303,1986-07-29 04:00:00.000000
191,Artem Ilyin,60,Divorced,100000,Government doctor,A,173.06800039230794,11.207722730154718,1986-07-30 16:00:00.000000
192,Igor Antonov,60,Divorced,100000,Government cook,AB,164.12593779740982,31.43118227057782,1986-08-03 13:00:00.000000
193,Maria Antonov,60,Married,74715,Government teacher,O,161.07089891585758,8.908389182786504,1986-08-15 17:00:00.000000
194,Olga Novikov,60,Married,100000,Government social researcher,A,186.92209129948526,406.0743536107286,1986-10-07 00:00:00.000000
195,Dmitri Kozlov,30,Divorced,100000,Government doctor,AB,176.23447121420895,17.820715576178632,1986-10-09 00:00:00.000000
196,Polina Volkov,60,Widowed,100000,Government IT technician,AB,165.8697698083508,30.480273995318804,1986-10-14 11:00:00.000000
197,Elena Bogdanov,60,Divorced,100000,Government surveillance assistance,B,185.72482299078618,14.888454919338356,1986-10-14 21:00:00.000000
198,Mikhail Timofeev,60,Divorced,100000,Government IT technician,B,178.7974791561024,50.40269381549744,1986-11-17 15:00:00.000000
199,Natalia Volkov,60,Married,100000,Government social researcher,A,187.63368755237775,20.06895939197954,1986-11-24 07:00:00.000000
200,Nikolai Ilyin,60,Widowed,100000,Government employee,B,167.01941694135616,10.020638868966003,1986-11-27 18:12:00.000000
201,Svetlana Gusev,24,Divorced,100000,Government cook,O,154.97680131894512,346.3628105965602,1986-11-29 00:12:00.000000
202,Nikolai Pavlov,60,Widowed,100000,Government surveillance assistance,A,159.42911755455765,1.6042657985577573,1986-11-30 01:12:00.000000
203,Pavel Egorov,18,Widowed,100000,Government surveillance assistance,O,151.57721912581172,26.839915317409336,1986-12-03 19:12:00.000000
204,Mikhail Timofeev,60,Divorced,100000,Government social researcher,AB,172.83702353154194,47.41920822169474,1986-12-05 18:12:00.000000
205,Tatiana Bogdanov,60,Divorced,100000,Government IT technician,AB,158.99087211573837,12.93624354646515,1986-12-11 08:12:00.000000
206,Konstantin Bogdanov,60,Widowed,100000,Government surveillance assistance,A,189.0589144427003,16.660738625139835,1986-12-12 08:12:00.000000
207,Konstantin Sokolov,36,Widowed,100000,Government social researcher,A,181.67323726275345,11.564404367454019,1986-12-12 22:12:00.000000
208,Nina Mikhailov,60,Widowed,100000,Government IT technician,A,179.02089903136857,9.181136501199715,1986-12-13 04:12:00.000000
209,Tatiana Gusev,60,Single,100000,Government surveillance assistance,O,189.4456163621656,27.156500179024995,1986-12-15 14:12:00.000000
210,Ksenia Kozlov,42,Married,100000,Government employee,O,150.4932898069397,26.354512182182063,1986-12-16 20:12:00.000000
211,Vladimir Sokolov,48,Single,100000,Government surveillance assistance,O,170.2636504595195,22.524376997088766,1986-12-17 22:12:00.000000
212,Ivan Bogdanov,54,Single,100000,Government history writer,AB,173.8012717728121,6.466889499422574,1986-12-18 04:12:00.000000
213,Konstantin Morozov,60,Divorced,100000,Government employee,A,185.6497475851842,59.84251942272532,1986-12-18 08:12:00.000000
214,Artem Mikhailov,60,Widowed,100000,Government social researcher,B,152.52651196819025,18.679963078771493,1986-12-18 14:12:00.000000
215,Natalia Fedorov,60,Divorced,100000,Government social researcher,AB,178.58428383483005,24.574824355185008,1986-12-18 16:12:00.000000
216,Alexei Pavlov,60,Single,100000,Government social researcher,A,164.66450385057155,17.948487814944237,1986-12-23 08:12:00.000000
217,Elena Orlov,60,Single,100000,Government history writer,B,152.6981099301348,20.775975458325608,1986-12-25 04:12:00.000000
218,Yulia Kuznetsov,60,Divorced,100000,Government surveillance assistance,AB,176.86171367328603,7.136205094859977,1986-12-25 14:12:00.000000
219,Ekaterina Gusev,60,Married,100000,Government surveillance assistance,A,155.58300755912103,62.3690210065676,1986-12-27 08:12:00.000000
